,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
3.01,-3.360873263,-3.025918255,-3.011071961,-2.958123969,-2.956621792,-2.948381773,-2.955891023,-2.902965774,-3.026126969,-2.957060182,-2.956366094,-2.925749938,-2.889231809,-3.026126969,-2.957060182,-2.956366094,-2.925749938,-2.889148172
3.02,-3.360878039,-3.025910436,-3.011211245,-2.9581015,-2.956612505,-2.948394539,-2.955881603,-2.902910772,-3.026113144,-2.957047288,-2.956354067,-2.925750018,-2.889148172,-3.026113144,-2.957047288,-2.956354067,-2.925750018,-2.889098044
3.03,-3.360882653,-3.025902779,-3.0113499,-2.958079177,-2.956603396,-2.948407214,-2.955872369,-2.902855829,-3.026099571,-2.95703458,-2.95634224,-2.92575018,-2.889098044,-3.026099571,-2.95703458,-2.95634224,-2.92575018,-2.889079543
3.04,-3.360887112,-3.025895281,-3.011487907,-2.958056998,-2.95659446,-2.948419792,-2.955863315,-2.902800938,-3.026086247,-2.957022053,-2.956330608,-2.92575042,-2.889079543,-3.026086247,-2.957022053,-2.956330608,-2.92575042,-2.889085576
3.05,-3.36089142,-3.025887937,-3.01162525,-2.958034961,-2.956585693,-2.948432272,-2.955854437,-2.902746098,-3.026073166,-2.957009701,-2.956319167,-2.925750735,-2.889085576,-3.026073166,-2.957009701,-2.956319167,-2.925750735,-2.889108393
3.06,-3.360895582,-3.025880743,-3.011761914,-2.958013066,-2.956577089,-2.948444648,-2.955845731,-2.902691303,-3.026060323,-2.956997521,-2.956307914,-2.925751117,-2.889108393,-3.026060323,-2.956997521,-2.956307914,-2.925751117,-2.889142117
3.07,-3.360899603,-3.025873697,-3.011897884,-2.957991311,-2.956568646,-2.948456919,-2.955837194,-2.902636549,-3.026047711,-2.956985507,-2.956296844,-2.925751562,-2.889142117,-3.026047711,-2.956985507,-2.956296844,-2.925751562,-2.889182889
3.08,-3.360903489,-3.025866792,-3.012033147,-2.957969698,-2.956560359,-2.948469089,-2.955828819,-2.902581834,-3.026035327,-2.956973654,-2.956285953,-2.925752065,-2.889182889,-3.026035327,-2.956973654,-2.956285953,-2.925752065,-2.88922827
3.09,-3.360907242,-3.025860027,-3.012167684,-2.957948223,-2.956552224,-2.948481139,-2.955820605,-2.902527154,-3.026023166,-2.95696196,-2.956275237,-2.925752623,-2.88922827,-3.026023166,-2.95696196,-2.956275237,-2.925752623,-2.889276717
3.1,-3.360910868,-3.025853398,-3.012301486,-2.957926887,-2.956544237,-2.948493076,-2.955812547,-2.902472505,-3.026011222,-2.956950419,-2.956264694,-2.92575323,-2.889276717,-3.026011222,-2.956950419,-2.956264694,-2.92575323,-2.889327233
3.11,-3.360914372,-3.025846901,-3.012434539,-2.957905689,-2.956536395,-2.948504896,-2.955804641,-2.902417884,-3.025999491,-2.956939027,-2.956254319,-2.925753883,-2.889327233,-3.025999491,-2.956939027,-2.956254319,-2.925753883,-2.889379157
3.12,-3.360917756,-3.025840533,-3.012566831,-2.957884628,-2.956528694,-2.948516598,-2.955796884,-2.902363288,-3.025987969,-2.95692778,-2.956244109,-2.925754577,-2.889379157,-3.025987969,-2.95692778,-2.956244109,-2.925754577,-2.889432037
3.13,-3.360921025,-3.02583429,-3.01269835,-2.957863705,-2.95652113,-2.948528179,-2.955789272,-2.902308714,-3.025976652,-2.956916676,-2.95623406,-2.925755308,-2.889432037,-3.025976652,-2.956916676,-2.95623406,-2.925755308,-2.889485554
3.14,-3.360924182,-3.025828171,-3.012829087,-2.957842918,-2.956513701,-2.948539638,-2.955781802,-2.902254159,-3.025965534,-2.956905709,-2.956224169,-2.925756072,-2.889485554,-3.025965534,-2.956905709,-2.956224169,-2.925756072,-2.889539482
3.15,-3.360927232,-3.02582217,-3.01295903,-2.957822268,-2.956506403,-2.948550972,-2.95577447,-2.90219962,-3.025954612,-2.956894876,-2.956214434,-2.925756867,-2.889539482,-3.025954612,-2.956894876,-2.956214434,-2.925756867,-2.889593652
3.16,-3.360930178,-3.025816287,-3.013088169,-2.957801754,-2.956499233,-2.948562181,-2.955767274,-2.902145095,-3.025943881,-2.956884174,-2.95620485,-2.925757687,-2.889593652,-3.025943881,-2.956884174,-2.95620485,-2.925757687,-2.88964794
3.17,-3.360933023,-3.025810517,-3.013216496,-2.957781375,-2.956492187,-2.948573263,-2.95576021,-2.90209058,-3.025933338,-2.956873599,-2.956195416,-2.92575853,-2.88964794,-3.025933338,-2.956873599,-2.956195416,-2.92575853,-2.889702248
3.18,-3.360935771,-3.025804858,-3.013344001,-2.957761133,-2.956485263,-2.948584216,-2.955753275,-2.902036073,-3.025922979,-2.956863148,-2.956186127,-2.925759392,-2.889702248,-3.025922979,-2.956863148,-2.956186127,-2.925759392,-2.889756504
3.19,-3.360938424,-3.025799308,-3.013470676,-2.957741026,-2.956478457,-2.94859504,-2.955746466,-2.901981572,-3.025912799,-2.956852818,-2.956176981,-2.925760271,-2.889756504,-3.025912799,-2.956852818,-2.956176981,-2.925760271,-2.88981065
3.2,-3.360940987,-3.025793863,-3.013596513,-2.957721054,-2.956471767,-2.948605734,-2.955739781,-2.901927075,-3.025902796,-2.956842606,-2.956167975,-2.925761162,-2.88981065,-3.025902796,-2.956842606,-2.956167975,-2.925761162,-2.889864638
3.21,-3.360943462,-3.025788513,-3.013721505,-2.957701217,-2.95646519,-2.948616297,-2.955733215,-2.901872578,-3.025892965,-2.956832508,-2.956159106,-2.925762063,-2.889864638,-3.025892965,-2.956832508,-2.956159106,-2.925762063,-2.889918433
3.22,-3.360945851,-3.025783273,-3.013845644,-2.957681516,-2.956458724,-2.948626727,-2.955726768,-2.901818081,-3.025883303,-2.956822522,-2.956150373,-2.925762971,-2.889918433,-3.025883303,-2.956822522,-2.956150373,-2.925762971,-2.889971996
3.23,-3.360948158,-3.025778132,-3.013968925,-2.95766195,-2.956452365,-2.948637025,-2.955720435,-2.901763581,-3.025873807,-2.956812646,-2.956141771,-2.925763884,-2.889971996,-3.025873807,-2.956812646,-2.956141771,-2.925763884,-2.89002532
3.24,-3.360950385,-3.025773086,-3.01409134,-2.957642519,-2.956446111,-2.948647191,-2.955714214,-2.901709075,-3.025864468,-2.956802875,-2.956133299,-2.925764798,-2.89002532,-3.025864468,-2.956802875,-2.956133299,-2.925764798,-2.890078374
3.25,-3.360952536,-3.025768135,-3.014212885,-2.957623223,-2.95643996,-2.948657222,-2.955708104,-2.901654563,-3.025855292,-2.956793208,-2.956124954,-2.92576571,-2.890078374,-3.025855292,-2.956793208,-2.956124954,-2.92576571,-2.890131143
3.26,-3.360954612,-3.025763275,-3.014333554,-2.957604063,-2.956433908,-2.948667121,-2.955702101,-2.901600042,-3.025846273,-2.956783642,-2.956116733,-2.925766619,-2.890131143,-3.025846273,-2.956783642,-2.956116733,-2.925766619,-2.890183612
3.27,-3.360956615,-3.025758505,-3.014453342,-2.957585037,-2.956427955,-2.948676885,-2.955696203,-2.901545503,-3.025837405,-2.956774172,-2.956108635,-2.925767522,-2.890183612,-3.025837405,-2.956774172,-2.956108635,-2.925767522,-2.890235769
3.28,-3.36095855,-3.025753823,-3.014572245,-2.957566147,-2.956422097,-2.948686516,-2.955690407,-2.901490959,-3.025828687,-2.956764801,-2.956100656,-2.925768416,-2.890235769,-3.025828687,-2.956764801,-2.956100656,-2.925768416,-2.890287606
3.29,-3.360960416,-3.025749226,-3.014690259,-2.957547393,-2.956416332,-2.948696013,-2.955684712,-2.901436401,-3.025820115,-2.956755524,-2.956092795,-2.925769299,-2.890287606,-3.025820115,-2.956755524,-2.956092795,-2.925769299,-2.890339113
3.3,-3.360962218,-3.025744714,-3.014807379,-2.957528773,-2.956410659,-2.948705376,-2.955679115,-2.901381827,-3.025811687,-2.956746339,-2.95608505,-2.92577017,-2.890339113,-3.025811687,-2.956746339,-2.95608505,-2.92577017,-2.890390284
3.31,-3.360963957,-3.025740283,-3.014923602,-2.957510289,-2.956405074,-2.948714606,-2.955673614,-2.901327237,-3.025803399,-2.956737243,-2.956077418,-2.925771025,-2.890390284,-3.025803399,-2.956737243,-2.956077418,-2.925771025,-2.890441111
3.32,-3.360965635,-3.025735932,-3.015038926,-2.95749194,-2.956399576,-2.948723703,-2.955668207,-2.901272628,-3.025795249,-2.956728234,-2.956069886,-2.925771863,-2.890441111,-3.025795249,-2.956728234,-2.956069886,-2.925771863,-2.890491591
3.33,-3.360967253,-3.025731659,-3.015153347,-2.957473728,-2.956394162,-2.948732667,-2.955662892,-2.901218,-3.025787234,-2.956719311,-2.956062474,-2.925772682,-2.890491591,-3.025787234,-2.956719311,-2.956062474,-2.925772682,-2.890541719
3.34,-3.360968815,-3.025727463,-3.015266853,-2.95745565,-2.956388832,-2.9487415,-2.955657667,-2.90116335,-3.025779352,-2.956710471,-2.95605517,-2.925773481,-2.890541719,-3.025779352,-2.956710471,-2.95605517,-2.925773481,-2.89059149
3.35,-3.360970322,-3.025723342,-3.015379463,-2.957437709,-2.956383582,-2.9487502,-2.955652519,-2.901108679,-3.025771599,-2.956701712,-2.956047971,-2.925774256,-2.89059149,-3.025771599,-2.956701712,-2.956047971,-2.925774256,-2.890640902
3.36,-3.360971775,-3.025719294,-3.015491164,-2.957419903,-2.956378411,-2.94875877,-2.955647469,-2.901053984,-3.025763973,-2.956693033,-2.956040875,-2.925775007,-2.890640902,-3.025763973,-2.956693033,-2.956040875,-2.925775007,-2.890689953
3.37,-3.360973177,-3.025715318,-3.015601954,-2.957402233,-2.956373318,-2.948767209,-2.955642502,-2.900999264,-3.025756472,-2.956684432,-2.956033881,-2.925775732,-2.890689953,-3.025756472,-2.956684432,-2.956033881,-2.925775732,-2.890738639
3.38,-3.36097453,-3.025711412,-3.015711833,-2.957384699,-2.956368288,-2.948775519,-2.955637618,-2.90094452,-3.025749094,-2.956675907,-2.956026986,-2.925776429,-2.890738639,-3.025749094,-2.956675907,-2.956026986,-2.925776429,-2.890786958
3.39,-3.360975834,-3.025707575,-3.0158208,-2.957367301,-2.956363344,-2.9487837,-2.955632814,-2.900889748,-3.025741835,-2.956667456,-2.956020189,-2.925777097,-2.890786958,-3.025741835,-2.956667456,-2.956020189,-2.925777097,-2.89083491
3.4,-3.360977091,-3.025703805,-3.015928854,-2.957350039,-2.956358471,-2.948791754,-2.95562809,-2.90083495,-3.025734694,-2.956659078,-2.956013488,-2.925777733,-2.89083491,-3.025734694,-2.956659078,-2.956013488,-2.925777733,-2.890882493
3.41,-3.360978304,-3.025700101,-3.016035994,-2.957332914,-2.956353669,-2.948799681,-2.955623443,-2.900780123,-3.025727668,-2.956650772,-2.956006882,-2.925778338,-2.890882493,-3.025727668,-2.956650772,-2.956006882,-2.925778338,-2.890929705
3.42,-3.360979473,-3.025696461,-3.016142221,-2.957315924,-2.956348935,-2.948807483,-2.955618872,-2.900725267,-3.025720756,-2.956642535,-2.956000368,-2.925778909,-2.890929705,-3.025720756,-2.956642535,-2.956000368,-2.925778909,-2.890976545
3.43,-3.360980599,-3.025692885,-3.016247534,-2.957299071,-2.956344268,-2.94881516,-2.955614375,-2.900670381,-3.025713954,-2.956634367,-2.955993945,-2.925779445,-2.890976545,-3.025713954,-2.956634367,-2.955993945,-2.925779445,-2.891023013
3.44,-3.360981686,-3.025689369,-3.016351934,-2.957282354,-2.956339666,-2.948822714,-2.955609951,-2.900615464,-3.025707262,-2.956626265,-2.955987612,-2.925779945,-2.891023013,-3.025707262,-2.956626265,-2.955987612,-2.925779945,-2.891069108
